Alien monster 👾
Alien 👽
Alligator 🐊
Ant 🐜
Bacteria/Microbe 🦠
Badger 🦡
Bat 🦇
Bear 🐻
Beaver 🦫
Bee/Honeybee 🐝
Beetle 🪲
Bird/Sparrow/Cardinal 🐦
Bison 🦬
Black cat 🐈‍⬛
Boar 🐗
Butteryfly 🦋
Camel 🐫
Cat 🐈
Cat 🐱
Centipede/Millipede 🐛
Chicken 🐔
Chicky 🐣
Cockroach 🪳
Cow 🐄
Cow 🐮
Crab 🦀
Cricket 🦗
Crocodile 🐊
Deer 🦌
Disguise 🥸
Dodo 🦤
Dog 🐕
Dog 🐶
Dog 🦮
Dolphin 🐬
Dove 🕊️
Dragon 🐍
Dragon 🐲
Duck 🦆
Eagle 🦅
Elephant 🐘
Ewe/Lamb/Sheep 🐑
Fish 🐟
Fish 🐠
Fish 🐡
Flamingo 🦩
Fly 🪰
Fox 🦊
Frog 🐸
Ghost 👻
Giraffe 🦒
Goat 🐐
Gorilla 🦍
Grasshopper 🦗
Hedgehog 🦔
Hippo 🦛
Horse 🐎
Horse 🐴
Kangaroo 🦘
Koala 🐨
Ladybug 🐞
Leopard/Jaguar 🐆
Lion 🦁
Lizard 🦎
Llama 🦙
Lobster 🦞
Mallard 🦆
Mammoth 🦣
Monkey 🐒
Mosquito 🦟
Mouse 🐁
Mouse 🐹
Octopus 🐙
Orangutan 🦧
Otter 🦦
Owl 🦉
Ox 🐂
Panda 🐼
Parrot 🦜
Peacock 🦚
Penguin 🐧
Pig 🐖
Pig 🐷
Polar bear 🐻‍❄️
Poodle 🐩
Quokka 🐿️
Rabbit 🐇
Rabbit 🐰
Raccoon 🦝
Ram 🐏
Rat 🐀
Rat 🐭
Rhinocerous 🦏
Robot 🤖
Rooster 🐓
Scorpion 🦂
Seal 🦭
Shark 🦈
Shrimp 🦐
Skunk 🦨
Sloth 🦥
Snail 🐌
Squid 🦑
Squirrel 🐿️
Swan/Heron 🦢
Tiger 🐅
Tiger 🐯
Turkey 🦃
Turtle 🐢
Unicorn 🦄
Water buffalo/Buffalo 🐃
Whale 🐳
Wolf 🐺
Worm 🪱
Zebra 🦓
